Customer No.,Customer Name
C0000000,ΠΕΛΑΤΕΣ ΕΣΩΤΕΡΙΚΟΥ (ΛΟΓΙΣΤΗΡΙΟ SPEEDEX)
C0000018,ΣΑΜΑΡΤΖΗΣ ΘΩΜΑΣ
C0000021,ΚΑΤΣΙΜΠΟΚΗΣ ΗΛΙΑΣ
C0000023,ΠΑΠΑΔΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ
C0000034,ΚΑΡΛΙΩΤΗΣ Π. ΜΙΧΑΗΛ
C0000043,ΜΙΧΟΥ Γ. ΔΗΜΗΤΡΙΟΣ
C0000044,ΑΝΔΡΟΝΟΠΟΥΛΟΣ ΤΑΚΗΣ
C0000057,ΚΟΝΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ
C0000066,ΠΕΤΡΟΠΟΥΛΟΣ ΑΝΔ.ΒΑΣΙΛΕΙΟΣ
C0000067,ΠΑΠΑΡΙΤΣΙΔΗΣ ΗΛΙΑΣ
C0000082,ΠΙΝΑΚΟΥΛΑΚΗΣ ΕΜΜΑΝΟΥΗΛ
C0000085,ΜΟΥΡΑΤΙΔΟΥ ΚΥΡΙΑΚΗ
C0000095,ΔΗΜΗΤΡΙΟΣ Α. ΤΑΣΟΠΟΥΛΟΣ
C0000104,ΚΟΥΤΣΙΚΟΣ ΧΑΡΑΛΑΜΠΟΣ
C0000114,ΔΑΦΟΠΟΥΛΟΣ ΑΧΙΛ. ΝΙΚΟΛΑΟΣ
C0000115,ΑΚΡΙΒΗΣ ΙΩΑΝΝΗΣ
C0000118,ΤΖΑΝΙΔΑΚΗΣ ΕΜΜΑΝΟΥΗΛ - INTER MEDICA
C0000122,ΦΑΡΜΑΚΕΙΟ ΑΘΗΝΑΣ Γ. ΑΝΘΟΠΟΥΛΟΥ
C0000130,ΠΑΠΠΑΣ ΔΗΜΗΤΡΗΣ ΤΟΥ ΠΕΤΡΟΥ
C0000134,ΚΑΤΣΩΝΗΣ ΗΛΙΑΣ
C0000137,ΚΟΙΛΑΝΙΤΗΣ ΘΕΟΔΩΡΟΣ
C0000147,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΣΤΑΥΡΟΣ
C0000148,ΠΑΤΕΡΑΚΗΣ ΝΙΚΟΣ
C0000151,ΟΙΚΟΝΟΜΟΥ Ι ΔΗΜΗΤΡΙΟΣ
C0000160,ΜΑΝΟΥΡΑΣ ΕΜΜΑΝΟΥΗΛ
C0000163,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΜΙΧ
C0000172,AUTO KYPREOS-SUZUKI KALYMNOS
C0000177,ΠΑΛΑΙΟΣ ΑΝΤΩΝΙΟΣ ΠΑΝ.
C0000185,ΜΑΥΡΟΓΙΑΝΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ
C0000196,ΚΑΡΑΠΙΔΑΚΗΣ ΑΝΔΡΕΑΣ
C0000199,ΛΕΜΟΝΑΚΗΣ ΑΝΤΝΩΝΗΣ Ν
C0000206,ΦΡΑΝΤΖΟΛΑΣ ΑΝ. ΒΑΣΙΛΗΣ
C0000208,ΙΩΑΝΝΗΣ ΣΠ.ΤΡΙΣΙΓΩΤΗΣ
C0000211,ΒΑΣΙΛΕΙΟΥ Α.ΔΗΜΗΤΡΗΣ
C0000212,ΜΠΑΛΗΣ Σ. ΘΕΟΔΩΡΟΣ
C0000218,ΔΗΜΗΤΡΗΣ ΜΑΝΙΑΤΗΣ
C0000224,ΦΟΥΝΤΟΡΑΔΑΚΗΣ ΝΙΚΟΛΑΟΣ
C0000244,ΙΩΑΝΝΗΣ ΕΜΜΑΝΟΥΗΛΙΔΗΣ
C0000247,ΡΕΤΣΗΣ ΔΙΟΝΥΣΙΟΣ
C0000248,ΣΑΚΕΛΛΑΡΙΑΔΗΣ Γ. ΚΩΝΣΤΑΝΤΙΝΟΣ
C0000264,ΤΣΙΟΤΣΙΟΣ Α. ΙΩΑΝΝΗΣ
C0000265,ΣΑΡΑΦΟΓΛΟΥ ΑΝΑΣΤΑΣΙΟΣ
C0000267,ΓΙΑΝΝΑΚΟΣ Ε. ΔΗΜΗΤΡΙΟΣ
C0000271,ΜΗΓΚΟΣ Α.ΠΑΥΛΟΣ
C0000275,ΧΑΤΖΗΜΑΝΕΤΤΑΣ ΓΕΩΡΓΙΟΣ
C0000287,ΓΡΑΜΜΕΝΟΣ ΣΚΗΠ. ΓΕΡΑΣΙΜΟΣ
C0000295,ΖΗΣΗ  ΕΥΑΓΓΕΛΙΑ ΑΝ ΠΑΝΤΕΛΗΣ
C0000296,ΚΑΡΥΟΦΥΛΛΗΣ ΝΙΚΟΛΑΟΣ
C0000301,ΑΛΕΞΕΛΛΗΣ ΕΥΣΤΡΑΤΙΟΣ
C0000310,ΕΥΡΙΠΙΩΤΗΣ  ΓΕΩΡΓΙΟΣ ΝΙΚΟΛΑΟΣ
C0000316,ΓΚΟΥΡΜΠΑΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ
C0000317,ΚΑΡΔΑΡΑΣ ΓΕΩΡΓΙΟΣ
C0000322,ΚΟΝΤΟΓΕΩΡΓΟΣ ΣΤΑΥΡΟΣ
C0000328,ΚΟΥΔΟΥΝΑΡΑΚΗΣ ΓΙΑΝΝΗΣ
C0000329,ΚΑΤΣΙΑΟΥΝΗΣ ΘΕΟΧΑΡΗΣ
C0000333,ΣΑΗΣ ΣΑΒΒΑΣ
C0000337,ΧΑΣΙΩΤΗΣ ΙΩΑΝΝΗΣ
C0000338,ΑΝΔΡΟΒΙΚ ΓΕΩΡΓΙΟΣ
C0000351,ΒΟΥΛΓΑΡΑΚΗΣ Κ.ΗΛΙΑΣ
C0000352,ΠΟΥΡΝΑΡΑ ΣΤΕΦ ΑΝΝΑ
C0000353,ΒΛΑΧΟΣ ΛΕΩΝΙΔΑΣ
C0000356,ΠΑΛΥΒΟΣ ΝΙΚ.ΙΩΑΝΝΗΣ
C0000358,ΡΑΒΑΖΟΥΛΑ ΣΩΤ. ΑΘΗΝΑ
C0000360,ΚΕΤΣΙΟΓΛΟΥ ΜΙΧΑΛΗΣ
C0000362,ΦΩΤΙΑΔΗΣ ΑΠΟΣΤΟΛΟΣ
C0000368,ΡΑΓΚΟΥΣΗΣ ΓΕΩΡΓΙΟΣ
C0000369,ΔΕΔΕΣ ΒΑΣΙΛΗΣ
C0000378,ΜΥΡΟΓΙΑΝΝΗΣ ΑΝΑΣΤΑΣΙΟΣ
C0000382,ΚΟΚΚΙΝΟΠΟΥΛΟΣ ΕΥΓ.ΜΙΧΑΗΛ
C0000389,ΙΩΑΝΝΗΣ ΠΕΤΡΕΛΛΗΣ
C0000393,ΜΗΤΣΙΟΣ ΓΕΩΡΓΙΟΣ
