Κωδικός,Πόλη,Κωδ. Χώρας/Περιοχής,Κωδ. Καταστήματος,Προκαθορισμένο,Πόλη ENU,Ανενεργό,Περιοχή,Ζώνη Τιμολόγησης,ΧΜ Ζώνη,Ζώνη
0116,RECEPTION.KENTRIKOU,GR,0116,FALSE,,FALSE,RECEPTION KENTRIKOU,,,In-city
0124,ΑΝΑΒΥΣΣΟΣ REC,GR,0124,FALSE,,FALSE,ΑΝΑΒΥΣΣΟΣ REC ,ATH8,,In-city
0222,ΠΑΞΟΙ ,GR,0222,FALSE,,FALSE,ΠΑΞΟΙ,,AP,Remote
0308,ΜΟΛΑΟΙ,GR,0308,FALSE,,FALSE,ΜΟΛΑΟΙ,,DP,Unapproachable
0311,ΝΕΑΠΟΛΗ,GR,0311,FALSE,,FALSE,ΝΕΑΠΟΛΗ,,DP,Unapproachable
0312,ΓΥΘΕΙΟ,GR,0312,FALSE,,FALSE,ΓΥΘΕΙΟ,,DP,Unapproachable
0315,ΣΚΑΛΑ ΛΑΚΩΝΙΑΣ ,GR,0315,FALSE,,FALSE,ΣΚΑΛΑ ΛΑΚΩΝΙΑΣ ,,DP,Unapproachable
0316,ΜΟΝΕΜΒΑΣΙΑ ,GR,0316,FALSE,,FALSE,ΜΟΝΕΜΒΑΣΙΑ,,DP,Unapproachable
0328,Reception Patra Akrotiriou,GR,0328,TRUE,,FALSE,,,,In-city
0339,ΑΡΕΟΠΟΛΗ,GR,0339,FALSE,,FALSE,ΑΡΕΟΠΟΛΗ,,DP,Unapproachable
0340,Reception Patra K. Achaia ,GR,0340,TRUE,,FALSE,,,,In-city
0399,RECEPTION Δ/Κ ΑΙΓΙΟΥ ,GR,0399,FALSE,,FALSE,,,,In-city
0516,ΑΛΟΝΗΣΟΣ,GR,0504,FALSE,,FALSE,ΑΛΟΝΗΣΟΣ,,,In-city
0619,ΒΕΡΟΙΑ ΕΚΤΑΚΤΟ,GR,0619,FALSE,,FALSE,ΒΕΡΟΙΑ,,,In-city
0655,EKTAKTO ,GR,0655,FALSE,,FALSE,EKTAKTO,,,In-city
0669,ΕΠΙΣΤ_ΠΕΛ_ΕΞΩΤΕΡΙΚΟΥ,GR,0669,FALSE,,FALSE,,,, 
0719,ΣΟΥΦΛΙ,GR,0721,FALSE,,FALSE,,,, 
0721,ΣΟΥΦΛΙ,GR,0721,TRUE,,FALSE,ΣΟΥΦΛΙ ,EVROS,,In-city
0831,ΣΠΗΛΙ,GR,0831,FALSE,,FALSE,,,,In-city
0907,ΑΡΧΑΓΓΕΛΟΣ  ( ΑΠ ),GR,0907,FALSE,,FALSE,,,AP,Remote
0907,"ΑΡΧΑΓΓΕΛΟΣ, ",GR,0907,FALSE,,FALSE,,,,In-city
0909,ΣΥΜΗ (ΑΠ ),GR,0909,FALSE,,FALSE,,,AP,Remote
0909,"ΣΥΜΗ,",GR,0909,FALSE,,FALSE,,,,In-city
0920,ΤΗΛΟΣ,GR,0920,FALSE,,FALSE,,,,In-city
0920,ΤΗΛΟΣ ( ΑΠ ),GR,0920,FALSE,,FALSE,,,AP,Remote
0925,RRHO2-ΡΟΔΟΣ REC 2,GR,0925,FALSE,,FALSE,ΡΟΔΟΣ REC 2,,,In-city
0938,ΝΙΚΑΙΑ RECEPTION ,GR,0945,TRUE,,FALSE,NIKAIA,ATH4,,In-city
0957,ΣΝΤ,GR,0957,FALSE,,FALSE,,,,In-city
0971,Reception Glygada,GR,0971,TRUE,,FALSE,,,,In-city
0976,Reception Voula,GR,0976,TRUE,,FALSE,,,,In-city
0977,Reception Θηβων ,GR,0977,TRUE,,FALSE,,,,In-city
0979,RGL-ΓΛΥΦΑΔΑ,GR,0979,TRUE,,FALSE,,,,In-city
0987,ΟΤΕ-ΑΥΛΩΝΑ ,GR,0987,FALSE,,FALSE,,,,In-city
10180,ΑΘΗΝΑ ,GR,0967,TRUE,,FALSE,,ATH4,,In-city
